@relation Target

@attribute InvetmentName {TGTG.DE,UUUG.DE,VSCk.DE,HRPKk.F,LUMG.F,AAQG.DE,ARLG.DE,E7SG.DE,ADNGk.DE,ADSGn.DE,ADDG.DE,ADLG.DE,ADAG.DE,AGXG.F,AAHG_p.F,AAHG.F,AIXGn.DE,ABAG.F,MTVG.DE,A1OS.DE,AEIG.DE,SWOG.F,ALVG.DE,ANOG.DE,ATFG.DE,AOXG.DE,AMDG.DE,TXAG.F,AROG.DE,AYDGn.DE,5ABG.F,AOFG.DE,NSUG.DE,NAFG.DE,AVES.DE,SPRGn.DE,BTTG.F,BASFn.DE,BSLG.DE,BST1.DE,B5AG.DE,BAYGn.DE,BYWGnx.DE,BYWG.DE,BKTG_p.F,USEG.DE,BC8G.DE,BEIG.DE,BEZ.DE,MBHG_p.F,BDTG.DE,ARTG.DE,BHSG.F,BIJG.DE,GBFG.DE,B8FGn.DE,BIOG.DE,BIOG_p.DE,BTBA.DE,BMWG_p.DE,BMWG.DE,BSYG.F,BNNn.DE,BNRGn.DE,DTDGk.DE,BVB.DE,COKG.DE,HWAG.DE,CSHG.DE,CEVG.DE,CWCG.DE,CSGG.F,CU1G.DE,CAGGk.DE,CNWKk.DE,CDBG.DE,CBKG.DE,COPMa.DE,EV4G.DE,CONG.DE,1COV.DE,ACWNn.DE,AFXG.DE,CE2G.DE,CURG.DE,DAIGn.DE,DAMG.DE,FAM1.F,ERMGk.DE,333.DE,DEXGn.DE,DMRE.DE,DBKGn.DE,DBANn.DE,DB11.DE,DEQGn.DE,PBBG.DE,DPWGn.DE,DTEGn.DE,DWNG.DE,DREGa.F,DEZG.DE,DFTKn.DE,DICn.DE,WING.DE,DIEG.F,GILG.DE,HNLG.DE,DRWG_p.DE,DRWG.DE,DRIG.DE,DKAG.F,DUEG.DE,DVBG.F,EONGn.DE,ESYG.DE,EUZG.DE,E4CG.DE,EING_p.DE,EISG.F,ELNk.F,ELGG.DE,ZILGn.DE,ELBG.DE,EMQG.DE,EBKG.DE,EKTG.F,EXJ.F,ECXn.F,EUCAn.DE,EVDG.DE,EVKn.DE,EVTG.DE,BTCGk.F,FVIG.DE,HBD1.F,FIEG.DE,SISG.DE,FRSG.DE,FEVG.DE,FPHG.DE,FRAG.DE,FNTGn.DE,FREG.DE,FMEG.DE,FNGG.F,CEAG.DE,FROG_p.F,FROG.F,FPEG_p.DE,FPEG.DE,G1AG.DE,WWGG.F,GMEG.DE,GXIG.DE,GWIG.DE,GSC1n.DE,GFKG.DE,GFTG.DE,GGS.DE,GKSG.DE,GMMG.DE,GLJn.DE,GIBG.F,G7BG.F,2HR.DE,HABG.DE,HNRGn.DE,H9YG.F,HLAG.DE,HAWG.DE,IPOG.F,HEIG.DE,HDDG.DE,H2Fn.DE,HLE.DE,HNKG.DE,HNKG_p.DE,RTMLk.F,HHFGn.DE,HOTG.DE,HOC.DE,HBMG.DE,HBH.DE,BOSSn.DE,HYQGn.DE,IFAG.F,FAOGn.DE,INHG.DE,IFS1.F,IFXGn.DE,IXXG.DE,IGY.DE,ISHG.DE,ITMG.DE,IS7G.DE,IVXG.DE,ISRG.DE,I7NG.DE,IVUG.DE,JENG.DE}
@attribute 'VaR_95(\%)' numeric
@attribute StdDev numeric
@attribute 'Risk_of_Loss (\%)' numeric
@attribute Beta numeric
@attribute Sharpe numeric

@data
DIEG.F,-33.77,0.203799,2.69,-0.000347,0.032703
GILG.DE,-68.13,0.405008,43.89,0.013239,0.034182
HNLG.DE,-76.47,0.462548,47.89,0.013133,0.036552
DRWG_p.DE,-221.01,1.335899,50.76,0.044122,0.024393
DRWG.DE,-164.31,1.001592,52.11,0.027113,0.023501
DRIG.DE,-126.43,0.786272,53.44,0.027554,0.02372
DKAG.F,-131.33,0.774634,15.27,0.00539,0.056162
DUEG.DE,-247.11,1.513149,52.29,0.084109,0.018146
DVBG.F,-39.98,0.250291,10.34,0.00022,0.027039
EONGn.DE,-30.1,0.187225,53.82,0.008776,0.026838
ESYG.DE,-22.29,0.126582,18.38,0.000974,-0.001341
EUZG.DE,-46.53,0.274861,50,0.006092,0.027475
E4CG.DE,-32.6,0.193272,42.04,0.002037,0.019245
EING_p.DE,-94.26,0.542521,41.77,0.004618,0.033904
EISG.F,-59.1,0.359574,9.54,0.001265,0.041443
ELNk.F,-23.65,0.138508,24.14,0.000114,0.034878
ELGG.DE,-43.63,0.264285,44.66,0.009956,0.028912
ZILGn.DE,-73.16,0.464321,61.83,0.021751,0.021111
ELBG.DE,-63.13,0.395403,43.58,0.000486,0.087701
EMQG.DE,-2.56,0.015513,19.67,0.000021,0.001211
EBKG.DE,-65.76,0.409852,41.04,0.003913,0.011711
EKTG.F,-42.34,0.248801,21.07,0.001628,0.042744
EXJ.F,-3.19,0.019472,0.76,-0.000064,0.028222
ECXn.F,-35.94,0.211948,45.95,0.00331,0.02992
EUCAn.DE,-29.7,0.18708,51.72,0.002136,0.02891
EVDG.DE,-84.8,0.536139,54.2,0.023692,0.022838
EVKn.DE,-80.85,0.508668,55.73,0.025563,0.023976
EVTG.DE,-14.04,0.080777,51.15,0.003573,0.027971
BTCGk.F,-28.05,0.160913,44.66,0.00236,0.030961
FVIG.DE,-22.32,0.134586,41.58,-0.000951,0.045161
HBD1.F,-14.96,0.089018,6.11,-0.000292,0.029649
FIEG.DE,-138.98,0.860248,50.76,0.026662,0.021172
SISG.DE,-41.48,0.247072,47.1,0.006252,0.029859
FRSG.DE,-15.48,0.100605,24.81,0.000742,0.008112
FEVG.DE,-31.36,0.180733,33.33,0.00163,0.03125
FPHG.DE,-10.63,0.063672,30.27,0.001173,0.03188
FRAG.DE,-127.72,0.784715,47.33,0.029019,0.02863
FNTGn.DE,-63.65,0.405374,56.49,0.018002,0.022396
FREG.DE,-179.51,1.094152,51.91,0.061652,0.026981
FMEG.DE,-199.79,1.228834,50,0.062941,0.022887
FNGG.F,-30.56,0.18695,32.06,0.001614,0.030581
CEAG.DE,-73.66,0.418918,15.62,0.004276,-0.027061
FROG_p.F,-1.9,0.011544,0.38,0.000031,0.028097
FROG.F,-2.44,0.015011,0.77,0.000008,0.029614
FPEG_p.DE,-92.64,0.581107,53.44,0.034531,0.020474
FPEG.DE,-83.95,0.518738,60.69,0.028051,0.015744
G1AG.DE,-148.3,0.909766,53.05,0.029297,0.028667
WWGG.F,-3126.49,18.666222,6.51,0.124757,0.491656
GMEG.DE,-35.97,0.214742,43.15,0.000673,0.020628
GXIG.DE,-176,1.086461,51.15,0.050343,0.026073
GWIG.DE,-53.55,0.336911,60.31,0.012228,0.024946
GSC1n.DE,-117.18,0.72252,48.85,0.01092,0.028055
GFKG.DE,-118.79,0.734244,54.96,0.014195,0.02694
