	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
RKET.DE	0,0389657	0,0329319	0,0598620	18,0010800	18,0084422	0,1078157	0,1259011	-3,1913121	6,3946779
PSMGn.DE	0,0163909	0,0133723	0,0538773	1,4493770	1,4580672	0,5848269	3,3742405	3,2548671	1,8721631
2HR.DE	0,0239183	0,0173937	0,0433447	1,6452620	2,1937274	0,2575804	0,6614229	1,7593586	1,2275404
GILG.DE	0,0104015	0,0044437	0,0467842	1,8078207	2,4646536	0,0355851	0,0671171	0,3455956	-1,5590391
HNLG.DE	0,0205001	0,0145052	0,0350900	2,6671011	4,0277506	0,1215993	0,1980600	0,6974853	0,0510493
SWAG.DE	0,0150693	0,0154062	0,0315988	1,5769142	2,4828741	0,1704588	0,3588596	1,8399585	
WANG.F	0,1404040	0,1064048	0,1973520	0,5577393	0,8409466	0,6651024	-7,0884085	11,3361834	
5ABG.F	0,0998938	0,0000000	0,0999488	0,9885792	1,0008816	0,1193064	0,4048339	-0,2041314	
YMSG.F	0,0843987	0,0650504	1,9642445	0,2344574		0,0000000	-0,0000000	-0,0000000	
JUNG_p.DE	0,0179129	0,0120364	0,0399051	1,4689433	1,7834963	0,0946896	0,3089946	1,1797475	0,9256787
STOG_p.DE	0,0192362	0,0241204	0,0357504	2,3391357	2,8277133	0,0069704	0,0110765	0,0394952	-0,3888233
KGX.DE	0,0176665	0,0102401	0,0282111	0,9413226	1,2609876	0,3060619	1,0706681	2,2315182	1,3375480
RIB.DE	0,0235112	0,0301272	0,0412546	7,6230246	7,6608221	0,0153266	0,0177485	0,2417635	-2,7053418
ANOG.DE	0,0302869	0,0256641	0,0635710	0,7629576	0,9629188	0,4802830	-4,5497437	-14,1581996	-13,8234099
FMEG.DE	0,0163901	0,0121399	0,0235226	1,4910496	1,7885677	0,3416699	0,8954840	2,8899673	3,2438997
FNGG.F	0,0609229	0,0384817	0,1437883			0,0000000			
RHKG.DE	0,0110390	0,0058691	0,0309483	1,5149961	1,5621631	0,0992543	0,1491134	1,0518160	-2,1446130
WSUG.DE	0,0256190	0,0169411	0,0350736	1,1931506	1,6465531	0,0507822	0,1202237	0,2082319	0,0926242
