InvestmentName,VaR_95(%),StdDev,Risk_of_Loss (%),Beta,Sharpe,stddev,stddev_1M,VaR95_daily,current_ratio,quick_ratio,debt_ratio,gearing,leverage,net_leverage
1COV.DE,"-139,45","0,782735","48,09","0,0333322","0,0320496","0,0215364","0,0215332","0,0343356","0,9283523","1,3190184","0,2708195","0,7931034","1,7993691","1,9036772"
ACWNn.DE,"-106,76","0,6264157","26,18","-0,0005732","0,0148908","0,0203895","0,0120424","0,0360538","3,8759519","5,5458275","0,1152143","0,1735921","0,9339433","0,075054"
AFXG.DE,"-95,58","0,5708612",50,"0,0201641","0,0266593","0,017894","0,0125296","0,0329393","2,9992025","3,7278181","0,0266965","0,0417504","0,1908248","-1,6579346"
CE2G.DE,"-19,58","0,1209606","46,18","0,0034668","0,0273588","0,0288746","0,0195928","0,044896","1,0863016","1,5552192","0,0103284","0,016636","0,0473557","0,7151035"
CURG.DE,"-5,4","0,0334916","40,91","0,0003181","0,0607241","0,030907","0,0270704","0,0551935","3,7116645","5,4292267","0,0007951","0,0011312","0,00481","0,8177008"
DAIGn.DE,"-191,51","1,2011973","53,82","0,0705009","0,0201312","0,0193591","0,0127216","0,0373451","1,1915647","1,4998119","0,4657359","1,8883516","5,4971466","-0,4597355"
DAMG.DE,"-91,17","0,5041921","33,89","-0,0020405","0,0459075","0,0125849","0,0116285","0,0402386","2,9153005","4,3386824","0,0774388","0,1161903","0,4312735","0,4004682"
FAM1.F,"-4,72","0,0286474","11,07","-0,0001206","0,0289719","0,0850946","0,0716615","0,1754715","11,6448496",,0,0,,
ERMGk.DE,"-15,94","0,0988231","48,26","0,0020748","0,0345503","0,0302995","0,0167721","0,0480071","0,8186625","0,8201821","0,1379216","0,8398617","-0,5288134","-0,1428766"
333.DE,"-29,84","0,1820375","31,82","0,0037564","-0,021953","0,073398","0,094844","0,1207289",,,,,,
DEXGn.DE,"-73,87","0,4626174","49,24","0,0000658","0,0269002","0,0285632","0,0272878","0,0418008","1,1173634","1,7574284","0,0946529","0,3033557","0,8272961","-0,4698683"
DMRE.DE,"-12,43","0,0767444","51,75","0,0010154","0,0262764","0,0156547","0,009146","0,0700303","1,0006452","1,0328766","0,6343406","2,840258","15,818623",
DBKGn.DE,"-74,36","0,4731708","55,34","0,0244734","0,0245596","0,0341444","0,0332614","0,045305",,,"0,1548176","3,7446625",,
DBANn.DE,"-80,12","0,4782711","50,38","0,0179757","0,0234345","0,0183228","0,0127958","0,0345299","3,213015",,"0,0053032","0,0057241","0,0651986",
DB11.DE,"-203,8","1,2320771",55,"0,0754743","-0,0958802","0,0174772","0,0108494","0,0287475","0,9993582",,"0,07915","4,0080425","10,371098",
DEQGn.DE,"-76,21","0,4748584","52,29","0,0178898","0,0241021","0,0118194","0,0081021","0,0252356","1,2117729",,"0,365459","0,7962213","7,9706397","7,7995379"
PBBG.DE,"-33,3","0,2038574","56,49","0,0081181","0,025801","0,0238267","0,0108695","0,0348775",,,"0,6556672","15,9406409",,
DPWGn.DE,"-64,43","0,3868961","43,89","0,0210573","0,0287887","0,0168149","0,011043","0,0310964","1,0218192","1,0421212","0,1367309","0,4692768","1,3428423","0,8927432"
DTEGn.DE,"-37,57","0,2345718","56,11","0,0131659","0,0266956","0,0152177","0,0115868","0,0273364","0,9593418","1,0143973","0,4268205","2,0893878","3,1965447","2,4626668"
DWNG.DE,"-71,77","0,4300696","48,09","0,0155601","0,0261542","0,0140956","0,0144866","0,0467122","2,4503053","2,6417486","0,3827846","0,7881911","5,0009803","4,3472366"
DREGa.F,"-18,76","0,1143704","7,63","0,0005662","0,0303079","0,0608626","0,0485298","0,1301852","0,4839915",,"0,7510107","3,839925","7,6104234",
DEZG.DE,"-17,47","0,1017351","46,18","0,0040759","0,0285272","0,0299265","0,0198679","0,047803","1,5980109","2,4061598","0,0675489","0,1498777","0,5970755","0,6358059"
DFTKn.DE,"-52,66","0,3368074","27,75","0,0022149","0,0233524","0,1319069","0,0276119","0,1058204","0,9209041",,"1,6551931","-2,0928986","-2,6872216",
DICn.DE,"-20,71","0,1271251",50,"0,0053091","0,0268924","0,0150358","0,0102326","0,0507351","1,5367034",,"0,5439578","1,6974258","3,8463696","4,1375918"
WING.DE,"-147,04","0,8483954","49,62","0,0115514","0,0335191","0,0193955","0,0050841","0,036653","1,0765396","1,4171385","0,0813131","0,3318008","0,659282","0,309769"
DIEG.F,"-33,77","0,2037992","2,69","-0,0003475","0,032703","0,0199104","0,0195703","0,0452498","1,2100425","1,7838606","0,3437827","1,3629213","8,450553",
GILG.DE,"-68,13","0,4050084","43,89","0,0132387","0,034182","0,0104015","0,0044437","0,0467842","1,8078207","2,4646536","0,0355851","0,0671171","0,3455956","-1,5590391"
HNLG.DE,"-76,47","0,4625485","47,89","0,013133","0,0365523","0,0205001","0,0145052","0,03509","2,6671011","4,0277506","0,1215993","0,19806","0,6974853","0,0510493"
