InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
NAFG.DE	-189,9400000	1,1732890	50,3800000	0,0407144	0,0273496	0,0234714	0,0138923	0,0397183	2,3417575	3,8176238	0,1713706	0,3525906	2,0486293	0,3037210	0,0234714	0,0138923	0,0397183	2,3417575	3,8176238	0,1713706	0,3525906	2,0486293	0,3037210
AVES.DE	-109,6200000	0,7201446	50,0000000	-0,1001413	0,2495735				0,3627814		0,8913049	12,4373466	29,0028015					0,3627814		0,8913049	12,4373466	29,0028015	
SPRGn.DE	-102,6700000	0,6538644	54,2000000	0,0312060	0,0235704	0,0148184	0,0090283	0,0304809	0,8566784	0,8697490	0,1926146	0,6074078	2,3065169	1,9042867	0,0148184	0,0090283	0,0304809	0,8566784	0,8697490	0,1926146	0,6074078	2,3065169	1,9042867
BTTG.F	-0,3000000	0,0018489	0,7600000	-0,0000159	0,0280079	0,1959071	0,0898804	0,9623025							0,1959071	0,0898804	0,9623025						
BASFn.DE	-173,1700000	1,0447853	48,8500000	0,0663042	0,0319772	0,0158787	0,0119154	0,0311751	1,7256252	2,4065046	0,2241092	0,5134882	1,4152625	1,1526529	0,0158787	0,0119154	0,0311751	1,7256252	2,4065046	0,2241092	0,5134882	1,4152625	1,1526529
BSLG.DE	-176,4300000	1,0206271	48,4600000	0,0140271	0,0329936	0,0179014	0,0128074	0,0466313	3,4994363	4,6025418	0,2852838	0,4841823	1,5931672	0,7794289	0,0179014	0,0128074	0,0466313	3,4994363	4,6025418	0,2852838	0,4841823	1,5931672	0,7794289
BST1.DE	-20,7700000	0,1315255	51,5600000	0,0019887	0,0232752	0,0192194	0,0227183	0,0255873	0,7868269	1,1416386	0,2929083	0,7032304	1,9102100	1,1318553	0,0192194	0,0227183	0,0255873	0,7868269	1,1416386	0,2929083	0,7032304	1,9102100	1,1318553
B5AG.DE	-47,2000000	0,3076324	67,1800000	0,0081253	0,0161779	0,0234299	0,0178397	0,0478068	1,5461049	2,2079581	0,4299539	1,6233496	7,9007408	7,1008192	0,0234299	0,0178397	0,0478068	1,5461049	2,2079581	0,4299539	1,6233496	7,9007408	7,1008192
BAYGn.DE	-263,8200000	1,6951695	49,6200000	0,0918577	0,0181627	0,0171696	0,0118211	0,0299217	1,4028857	1,9064193	0,2593314	0,7899856	1,8263148	1,8049190	0,0171696	0,0118211	0,0299217	1,4028857	1,9064193	0,2593314	0,7899856	1,8263148	1,8049190
BYWGnx.DE	-75,1900000	0,4560747	51,9100000	0,0127238	0,0244586	0,0165547	0,0132898	0,0316347	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	6,6958748	0,0165547	0,0132898	0,0316347	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	6,6958748
BYWG.DE	-106,0500000	0,6504883	41,6700000	0,0032440	0,0642237	0,0202012	0,0111661	0,0454341	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833		0,0202012	0,0111661	0,0454341	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	
BKTG_p.F	-3,4700000	0,0213765	1,9100000	-0,0001805	0,0281990	0,1923683	0,0592725	0,3195286							0,1923683	0,0592725	0,3195286						
USEG.DE	-2,1200000	0,0129592	40,7100000	0,0001342	0,0269365	0,0579179	0,0402440	0,0608236	1,3034536	1,9306506	0,3820133	3,3523168	-5,2743760		0,0579179	0,0402440	0,0608236	1,3034536	1,9306506	0,3820133	3,3523168	-5,2743760	
BC8G.DE	-210,1500000	1,2798965	56,4900000	0,0567576	0,0159906	0,0145940	0,0097134	0,0374644	1,9631165	2,3294552	0,0573869	0,1063722	0,4236423	-0,3235177	0,0145940	0,0097134	0,0374644	1,9631165	2,3294552	0,0573869	0,1063722	0,4236423	-0,3235177
BEIG.DE	-177,8200000	1,1092085	51,5300000	0,0511819	0,0238481	0,0132807	0,0105748	0,0234165	2,1744548	2,5752856	0,0139677	0,0229226	0,0882353	-1,9456016	0,0132807	0,0105748	0,0234165	2,1744548	2,5752856	0,0139677	0,0229226	0,0882353	-1,9456016
